brand,brand_slug,raw_name,display_name,product_slug,local_image_key,source
Lattafa,lattafa,Badee-Al-Oud-Noble-Blush-2_b437e68d-7b3e-4489-a0f2-7439c9a6977a,Badee Al Oud Noble Blush,badee-al-oud-noble-blush,products/lattafa/badee-al-oud-noble-blush/01.jpg,local-assets
Lattafa,lattafa,Badee-Al-Oud-Sublime-2,Badee Al Oud Sublime,badee-al-oud-sublime,products/lattafa/badee-al-oud-sublime/01.jpg,local-assets
Lattafa,lattafa,Eclaire-2_ad62b0e3-28ea-46a2-b8cb-447085efaecc,Eclaire,eclaire,products/lattafa/eclaire/01.jpg,local-assets
Lattafa,lattafa,Haya-2,Haya,haya,products/lattafa/haya/01.jpg,local-assets
Lattafa,lattafa,IMG-1761,IMG,img,products/lattafa/img/01.jpg,local-assets
Lattafa,lattafa,Khamrah-2_34a8222e-a770-40b3-9268-b5ee164ad013,Khamrah,khamrah,products/lattafa/khamrah/01.jpg,local-assets
Lattafa,lattafa,Khamrah-Dukhan-2_95db2a2a-cf00-4719-8a90-68095d059420,Khamrah Dukhan,khamrah-dukhan,products/lattafa/khamrah-dukhan/01.jpg,local-assets
Lattafa,lattafa,Khamrah-Qahwa-2_18e1e5f1-4f51-4325-83af-2d625beb976a,Khamrah Qahwa,khamrah-qahwa,products/lattafa/khamrah-qahwa/01.jpg,local-assets
Lattafa,lattafa,LattafaEclairePistacheBoxandBottle,Lattafaeclairepistacheboxandbottle,lattafaeclairepistacheboxandbottle,products/lattafa/lattafaeclairepistacheboxandbottle/01.jpg,local-assets
Lattafa,lattafa,LattafaMusamamBlackIntenseEDP100mlSprayBoxBottle,Lattafamusamamblackintenseedp100mlsprayboxbottle,lattafamusamamblackintenseedp100mlsprayboxbottle,products/lattafa/lattafamusamamblackintenseedp100mlsprayboxbottle/01.jpg,local-assets
Lattafa,lattafa,Mayar-Natural-Intense-2_f826b470-fce8-4f5e-a30d-67f38fb3e69e,Mayar Natural Intense,mayar-natural-intense,products/lattafa/mayar-natural-intense/01.jpg,local-assets
