brand,name,slug,category,price,stock,image_url,source
"Unique Luxury","Uniquee Luxury Chocolate Makes Me Happy",unique-luxury-uniquee-luxury-chocolate-makes-me-happy,decants,28500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/UniqueeLuxuryChocolateMakesMeHappy.png?v=1744029820",disfragancias
"Unique Luxury","Uniquee Luxury Hidden Accords",unique-luxury-uniquee-luxury-hidden-accords,decants,66500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Uniquee_Luxury_Hidden_Accords.png?v=1744029422",disfragancias
"Unique Luxury","Uniquee Luxury Istanbul",unique-luxury-uniquee-luxury-istanbul,decants,66500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Uniquee_Luxury_Istanbul.png?v=1744029041",disfragancias
"Bharara","Bharara Mast Perfume Gorgeus",bharara-bharara-mast-perfume-gorgeus,decants,20900,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Bharara_Mast_Perfume__Gorgeus_1.png?v=1744028708",disfragancias
"Sospiro Perfumes","Sospiro Maraschino",sospiro-perfumes-sospiro-maraschino,decants,76000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Sospiro_Maraschino.png?v=1744027836",disfragancias
"Dara Caro","Dara Caro Dubai",dara-caro-dara-caro-darkness-bites-copia-1,decants,70000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Dara_Caro_Dubai.png?v=1744027651",disfragancias
"Dara Caro","Dara Caro aazaadee",dara-caro-dara-caro-darkness-bites-copia,decants,90250,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Dara_Caro_Aazaadee.png?v=1744027394",disfragancias
"Dara Caro","Dara Caro darkness bites",dara-caro-dara-caro-darkness-bites,decants,70000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Dara_Caro_Darkness_Bites_96df0391-8b67-44dd-9872-8d8d3fd23d89.png?v=1744026908",disfragancias
"Dara Caro","Dara Caro sweet obsession",dara-caro-dara-caro-sweet-obsession,decants,70000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Dara_Caro_Sweet_Obsesion.png?v=1744026353",disfragancias
"Dara Caro","Dara Caro Oud Coconut",dara-caro-dara-caro-oud-coconut,decants,70000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Dara_Caro_Oud_Coconut.png?v=1743888273",disfragancias
"Dara Caro","Dara Caro Oud roses",dara-caro-dara-caro-oud-roses,decants,70000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Dara_Caro_Oud_Roses.png?v=1743887741",disfragancias
"Dara Caro","Dara Caro Oud coffe",dara-caro-dara-caro-oud-coffe,decants,70000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Dara_Caro_Oud_Coffe.png?v=1743886937",disfragancias
"Dara Caro","Dara Caro soul of the night",dara-caro-dara-caro-soul-of-the-night,decants,70000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Dara_Caro_Soul_Of_The_Night.png?v=1743886007",disfragancias
"Marc Jacobs","Marc Jacobs Daisy set de regalo",marc-jacobs-marc-jacobs-daisy-set-de-regalo,,427500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Daisy_set_de_regalo.png?v=1743717237",disfragancias
"Salvatore Ferragamo","Ferragamo Uomo Signature set de regalo",salvatore-ferragamo-ferragamo-uomo-signature-set-de-regalo,,332500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/FerragamoUomo.png?v=1743716959",disfragancias
"Dolce & Gabanna","Dolce & Gabbana L´Imperatrice set de regalo",dolce-gabanna-dolce-gabbana-l-imperatrice-set-de-regalo,,323000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Dolce_Gabbana_L_Imperatrice_set_de_regalo.png?v=1743716652",disfragancias
"Bvlgari","Bvlgari Omnia crystalline set de regalo 100 ML + 15 ML",bvlgari-bvlgari-omnia-crystalline-set-de-regalo-100-ml-15-ml,,589000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/BvlgariOmniacrystallinesetderegalo100ML_15ML.png?v=1743716392",disfragancias
